BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,Location,SteamUse %,Electricity %,NaturalGas %,total other type %,location_type
NonResidential,Large Office,17.0,174790,91.0,7739699.0,100.26,86,7thAve,0.0,0.8703279029326593,0.12967196786334972,1.2920399106164382e-07,city_center
NonResidential,Small- and Mid-Sized Office,5.0,73399,61.0,3757006.0,26.19,100,OliveStreet,0.0,0.9999997338306087,0.0,2.6616939130530426e-07,city_center
NonResidential,Large Office,20.0,233517,90.0,14633233.0,563.25,47,StewartStreet,0.44889820315168905,0.5511016601731141,0.0,1.3667519682680762e-07,city_center
NonResidential,Large Office,25.0,529375,95.0,27018020.0,229.25,7,-8thAvenue,0.0,0.9671931177784309,0.032806734172230234,1.480493388994475e-07,city_center
NonResidential,Large Office,12.0,206000,91.0,8580279.0,222.19,48,SixthAvenue,0.26951300184993987,0.7304868524671517,0.0,1.456829084034439e-07,city_center
NonResidential,Large Office,36.0,669915,97.0,39523852.0,275.54,7,EighthAvenue,0.0,0.9999998734941119,0.0,1.265058880983716e-07,city_center
NonResidential,Large Office,16.0,339240,94.0,17867002.0,130.73,26,9thAvenue,0.0,0.9925154762953516,0.007484411766450801,1.1193819760002555e-07,city_center
NonResidential,Small- and Mid-Sized Office,7.0,89550,85.0,3903259.75,51.67,116,2ndAvenue,0.08925534932693116,0.9107444104892072,0.0,2.401838616883367e-07,city_center
NonResidential,Small- and Mid-Sized Office,6.0,89355,66.0,4178233.5,31.97,116,FirstAve,0.0,0.9852491489525418,0.014750731379660806,1.1966779744909672e-07,city_center
NonResidential,Large Office,15.0,388934,89.0,18576900.0,213.23,94,2ndAvenue,0.06418421534271057,0.9358156097088319,0.0,1.7494845749865817e-07,city_center
NonResidential,Large Office,22.0,384302,98.0,10062436.0,70.15,87,2ndave,0.0,0.9999999006204859,0.0,9.937951406246981e-08,city_center
NonResidential,Large Office,17.0,293925,69.0,24906132.0,940.47,58,2ndAveSuite1300,0.43848904358171714,0.5615108761167732,0.0,8.030150966398253e-08,city_center
NonResidential,Large Office,47.0,1323055,94.0,44683660.0,318.97,33,"3rdAvenue,Suite1550",0.0,0.9963786314728919,0.0036212790089263057,8.951818186719862e-08,city_center
NonResidential,Large Office,41.0,460489,84.0,24603420.0,171.52,30,SecondAvenue,0.0,0.9999998780657323,0.0,1.2193426768281057e-07,city_center
NonResidential,Large Office,8.0,94948,81.0,3743228.5,26.1,48,2ndAvenue,0.0,0.9999998664254667,0.0,1.3357453332307756e-07,city_center
NonResidential,Large Office,29.0,438072,95.0,18221224.0,139.72,25,2ndAvenue,0.00991875172052108,0.990081072489971,0.0,1.7578950795016368e-07,city_center
NonResidential,Large Office,6.0,146922,,41399504.0,362.66,58,SecondAvenue,0.0,0.9612353809842746,0.03876449824133159,1.2077439381918964e-07,city_center
NonResidential,Large Office,34.0,614158,81.0,32552428.0,231.32,36,3rdAveSuite310,0.0,0.9970792040458549,0.0029207037951209046,9.215902418979738e-08,city_center
NonResidential,Large Office,14.0,162993,95.0,9641043.0,218.53,44,ThirdAvenue,0.2235211999365629,0.7764786444786109,0.0,1.5558482613364788e-07,city_center
NonResidential,Large Office,49.0,754455,89.0,45163308.0,627.87,47,FourthAvenue,0.0,0.8497802906731279,0.15021962075940054,8.856747157892642e-08,city_center
NonResidential,Large Office,37.0,888049,93.0,41213584.0,287.32,14,FourthAvenue,0.0,0.9999998786807767,0.0,1.2131922333402656e-07,city_center
NonResidential,Large Office,42.0,446184,28.0,69519808.0,546.65,43,FifthAvenue,0.012701178633865043,0.987298785405161,0.0,3.596097397640108e-08,city_center
NonResidential,Large Office,8.0,201480,91.0,8921778.0,175.95,109,ThirdAvenue,0.18157444345734672,0.8184254304467115,0.0,1.2609594179924244e-07,city_center
Nonresidential COS,Large Office,63.0,1195387,89.0,61576184.0,429.27,26,FifthAvenue,0.0,0.99999993503982,0.0,6.496018001289627e-08,city_center
Nonresidential COS,Large Office,14.0,310490,,21169502.0,380.37,15,5thAve,0.0,0.7616634533963057,0.23833649936592746,4.7237766809260506e-08,city_center
NonResidential,Large Office,13.0,319539,98.0,13843866.0,216.24,10,FifthAve.,0.0,0.8125610288339977,0.1874388266976869,1.4446831531067517e-07,city_center
NonResidential,Large Office,7.0,106099,99.0,2746560.75,70.17,107,YESLERWAY,0.0,0.5973612635365885,0.4026384633946291,2.730687824747946e-07,city_center
NonResidential,Retail Store,2.0,89200,83.0,6461937.0,89.47,38,UniversityWayNE,0.0,0.8510025709009543,0.14899727434668583,1.5475235981554647e-07,north
NonResidential,Large Office,23.0,474546,77.0,28450436.0,198.34,45,BrooklynAve,0.0,0.9999998945534613,0.0,1.0544653872290866e-07,north
NonResidential,Other,5.0,36000,96.0,30038490.0,209.41,47,BROOKLYNAVENE,0.0,0.9999999001281356,0.0,9.987186444515572e-08,north
NonResidential,Large Office,5.0,137929,93.0,7046345.5,49.12,14,RooseveltWayNE,0.0,0.9999999290412314,0.0,7.095876863871808e-08,north
NonResidential,Large Office,18.0,349055,79.0,24224888.0,168.88,36,OliveWay,0.0,0.9999999174402788,0.0,8.25597211706608e-08,city_center
NonResidential,Mixed Use Property,11.0,185760,94.0,9765777.0,72.42,16,HOWELLST,0.0,0.9903791577464856,0.009620739855108303,1.0239840619874485e-07,city_center
NonResidential,Large Office,20.0,378769,65.0,26823218.0,197.19,28,MinorAvenue,0.0,0.9917642991232446,0.008235589033351629,1.1184340376058088e-07,city_center
NonResidential,Large Office,24.0,427155,79.0,25307744.0,176.43,37,FourthAvenue,0.0,0.9999998814592087,0.0,1.1854079129403061e-07,city_center
NonResidential,Mixed Use Property,4.0,70647,,8218155.5,91.13,36,1STAVE,0.0,0.9107468214735046,0.08925311768559259,6.084090276026188e-08,city_center
NonResidential,Large Office,6.0,272410,64.0,20361158.0,141.95,34,ThirdAvenue,0.0,0.9999999017737596,0.0,9.822624036370797e-08,city_center
NonResidential,Large Office,6.0,203880,74.0,14913424.0,103.97,14,5thAve,0.0,0.9999998658926347,0.0,1.3410736532382117e-07,city_center
NonResidential,Large Office,3.0,144118,94.0,5357833.0,46.03,69,WallStreet,0.0,0.9648753516580304,0.03512446169934748,1.8664262213530236e-07,city_center
NonResidential,Large Office,8.0,191117,3.0,29949248.0,208.79,32,WesternAvenue,0.0,0.9999998330509,0.0,1.6694909998893337e-07,city_center
NonResidential,Supermarket / Grocery Store,1.0,60880,54.0,14293972.0,384.27,60,HolmanRoadNW,0.0,0.5684366808609951,0.43156324917944433,6.995956058908348e-08,north
NonResidential,Small- and Mid-Sized Office,5.0,50176,77.0,2933288.75,24.91,116,2ndAve,0.0,0.9670558345133938,0.032943909800901804,2.556857043867211e-07,city_center
NonResidential,Large Office,42.0,304346,72.0,23262244.0,741.3,104,SecondAvenue,0.043608104832878546,0.4831753978678927,0.47321647043165743,2.686757127889905e-08,city_center
NonResidential,Large Office,8.0,321945,76.0,13656587.0,355.05,89,5thAvenue,0.2709776425105336,0.7290222659585444,0.0,9.153092206393154e-08,city_center
NonResidential,Large Office,22.0,336330,77.0,18967014.0,530.66,52,5thavenue,0.28315537701400967,0.6924762643186745,0.024368305944203975,5.272311176529598e-08,city_center
NonResidential,Large Office,21.0,298426,79.0,27076922.0,1084.79,56,4thAvenue,0.4712858795397793,0.5287140835284011,0.0,3.693181960251479e-08,city_center
NonResidential,Large Office,42.0,635824,69.0,48479988.0,337.97,40,5thAve,0.0,0.9999998762375931,0.0,1.2376240687839157e-07,city_center
NonResidential,Hotel,12.0,542305,45.0,56485204.0,2573.75,93,UniversityStreet,0.5034749276996503,0.42627281650607124,0.07025222038677598,3.5407502485540476e-08,city_center
NonResidential,Retail Store,2.0,291940,80.0,11688601.0,162.45,36,RAINIERAVE.S.,0.0,0.8498759603480348,0.15012395409852727,8.555343788962944e-08,south
NonResidential,Other,5.0,71421,,3085814.0,21.51,7,YaleAveN,0.0,0.9999996759363979,0.0,3.240636020640508e-07,city_center
NonResidential,Warehouse,1.0,52500,2.0,3989399.0,70.47,43,9thAveNW,0.0,0.7682302522259619,0.23176949710971503,2.506643230759664e-07,north
NonResidential,Large Office,6.0,350310,90.0,18102026.0,224.36,100,ElliottAvenue,0.0,0.8824628801218162,0.11753689890844263,2.2096974117147283e-07,city_center
NonResidential,Large Office,55.0,1115000,92.0,53079164.0,588.9,28,3rdave,0.0410610790704993,0.9320575018852972,0.026881357814904545,6.122929896434925e-08,city_center
NonResidential,Hotel,21.0,305548,58.0,33729336.0,1510.85,86,6thAve,0.48280138096996633,0.4322070852506554,0.08499144483603235,8.894334591058595e-08,city_center
NonResidential,Large Office,46.0,1023998,89.0,56606136.0,530.18,27,5thAvenue,0.0,0.9480961745913906,0.051903737078962606,8.832964681904087e-08,city_center
NonResidential,Large Office,10.0,135918,91.0,6423556.5,193.72,58,UnionSt,0.33022251769716665,0.6697774044643338,0.0,7.783849964582146e-08,city_center
